@relation testpackets-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute Protocol numeric
@attribute Length numeric
@attribute Info numeric
@attribute Class {0,1}

@data
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.608247,0,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.948454,0.25,0
1,0.731959,0.5,0
0,0,0.75,0
1,0.731959,0.5,0
0,0,0.75,0
