No.,Time,Source,Destination,Protocol,Length,Info
55,389.555965,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
56,389.55923,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
57,389.562496,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
58,389.565761,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
59,389.569028,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
60,389.572292,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
61,389.575558,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
62,389.578837,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
63,389.582119,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
64,389.585383,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
65,389.58865,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
66,389.591914,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
67,389.595242,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
68,389.598506,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
69,389.601773,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
70,389.605038,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
71,389.608304,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
72,389.611567,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
73,389.614833,fe80::c30c:0:0:3,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
